ID,Arquitectura,Estado_Modelo,Tipo_Input,texto_raw,Texto_Input,Texto_Output,FIDELIDAD,CALIDAD,DOMINIO,ALUCINACION,Notas_Cualitativas
1,MBart,Base,Texto Origen,"""气海老祖，你我之间其实并没有什么大的矛盾，完全可以和平共处""","Qi Sea Ancestor, we do not have a huge grudge between us, we can coexist in peace","There's really no big contradiction between you and me, Grandpa, and we can live together in peace",1.0,1.0,1.0,1.0,granpda??
2,Llama 3,Fine-Tuned,Prompt 2,"""泰琴拼尽全力，不惜施展损害自己的手段，终于将王蚁收服""",Tai Qin gave it her all and used methods that carried backlash to herself but finally subdued the ant queen,"Tai Qin used all her strength, even using methods that harmed herself, and finally subdued the king ant",1.0,1.0,1.0,1.0,
2,Llama 3,Fine-Tuned,Prompt 2,"""而现在，他只有将自身强悍到了极致后，才有把握，将那看似打不死的雷山，直接轰杀，一旦将其轰杀，白小纯就可以在无人追击中，彻底逃遁出去""","Right now, Bai Xiaochun knew that he had to become as powerful as he possibly could. He needed to cut down the seemingly unkillable Lei Shan, which would give them the oppor tunity to truly escape","Now, he had to make sure that he was strong enough to kill Lei Shan, who seemed almost impossible to kill. If he could do that, then he would be able to escape without anyone chasing him",1.0,1.0,1.0,1.0,
2,Llama 3,Base,Prompt 2,"""我去哪啊""",Where am I supposed to go,"Where am I headed, I wonder?",1.0,,,,
1,MBart,Fine-Tuned,Texto Origen,"""刚想到这里，陆畏因眼前忽然一黑""","While thinking of this, Lu Wei Yin’s vision suddenly turned dark","As he thought of this, Lu Wei Yin’s vision turned dark",1.0,11.0,,,
2,Llama 3,Base,Prompt 2,"""虽然我并非黄金血脉。 参与王庭争霸，就是为了混迹到八十八角真阳楼中捞取好处""","Although I am not of the Huang Jin bloodline, I participated in the fight for Imperial Court to get some benefits from Eighty-Eight True Yang Building","Although I am not of the Huangjin bloodline, participating in the Wangting struggle for hegemony is merely a ploy to blend into the crowd and gain an advantage, for my true intention is to sneak into the Bazhijiiao Zhenyang Lou and reap the benefits",1.0,1.0,1.0,1.0,
1,MBart,Base,Texto Origen,"""我全身发抖，冷得很""","I was shaking all over, I was very cold.",I shivered and was very cold,1.0,,,,
2,Llama 3,Base,Prompt 1,"""若是在平地之上，尺许小径又算得了甚么，可是这石梁下临深谷，别说行走，只望一眼也不免胆战心惊""","If this stone bridge were laid on the ground, it would act just like a narrow alley, nothing to be afraid of, but under the stone bridge was a deep canyon. Just looking at it would cause the heart to tremble with fear, let alone walk across it","On level ground, a narrow path of a few inches would be nothing, but this stone bridge hangs over a deep valley, and not only is it frightening to walk on it, just looking at it makes one's heart tremble with fear",1.0,,,,
2,Llama 3,Fine-Tuned,Prompt 1,"""在仙元方面，巨阳仙尊应当占据优势。 在炼蛊方面，是方源占据优势""","In terms of immortal essence, Giant Sun Immortal Venerable should have an advantage, in terms of Gu refinement, Fang Yuan has the advantage","In terms of immortal essence, Giant Sun Immortal Venerable should have the advantage, while in terms of Gu refinement, Fang Yuan should have the advantage",1.0,1.0,,,
2,Llama 3,Base,Prompt 2,"""我全身发抖，冷得很""","I was shaking all over, I was very cold.","My entire body trembled with convulsions, chilled to the bone, as if the very marrow had been frozen by an unseen force, leaving me shivering in an icy grip.",1.0,1.0,1.0,1.0,
2,Llama 3,Base,Prompt 1,"""老毒物放蛇，真不要脸""",The Old Poison dispatches his snakes! Really shameless,"Lǎo Dú Wù Fàng Shé, Zhēn Bù Yào Liǎn",1.0,1.0,,,Todo en pinyin
1,MBart,Fine-Tuned,Texto Origen,"""若是在平地之上，尺许小径又算得了甚么，可是这石梁下临深谷，别说行走，只望一眼也不免胆战心惊""","If this stone bridge were laid on the ground, it would act just like a narrow alley, nothing to be afraid of, but under the stone bridge was a deep canyon. Just looking at it would cause the heart to tremble with fear, let alone walk across it","If it was on flat ground, a foot or even a foot would not count as a long journey, but this stone bridge is so narrow that one has to be very careful not to look too far",11.0,,,,Semanticamente sin mucho serntido
1,MBart,Fine-Tuned,Texto Origen,"""方源，你怎么也想不到，会有今天吧""","Fang Yuan, you had never in your wildest imagination, expect this day to occur right","Fang Yuan, how could you not think of this day",1.0,1.0,1.0,1.0,recorta mucho
2,Llama 3,Fine-Tuned,Prompt 2,"""领队的武官叫道""",The leader shouted in response,The officer in charge shouted,1.0,1.0,1.0,1.0,
2,Llama 3,Base,Prompt 2,"""方源面色仍旧冷漠，就算是道歉，都是一脸高傲的样子""","Fang Yuan had a cold expression, even when he apologized, he had an arrogant look","Fang Yuan's countenance remained as icy as before, and even when offering an apology, his face still wore an air of haughty arrogance.",,,,,
2,Llama 3,Base,Prompt 1,"""泰琴拼尽全力，不惜施展损害自己的手段，终于将王蚁收服""",Tai Qin gave it her all and used methods that carried backlash to herself but finally subdued the ant queen,"Tai QIN used all his strength, not hesitating to use moves that would harm himself, and finally subdued Wang Yi",1.0,1.0,1.0,1.0,
