ID,Arquitectura,Estado_Modelo,Tipo_Input,texto_raw,Texto_Input,Texto_Output,FIDELIDAD,CALIDAD,DOMINIO,ALUCINACION,Notas_Cualitativas
1,MBart,Fine-Tuned,Texto Origen,"""古月方想口中喃喃，捂住心口""","Gu Yue Fang Xiang muttered, his hand over his heart","Gu Yue Fang Xiang mumbled, covering his chest",,,,,
2,Llama 3,Fine-Tuned,Prompt 1,"""这落魄谷中，居然有盗天真传""",Luo Po valley actually has a Thieving Heaven true inheritance?,This Luo Po valley actually has Thieving Heaven’strue inheritance,,,,,
2,Llama 3,Base,Prompt 2,"""在这过程中，不死皮，不死金刚，不死筋 也都全部恢复，甚至白小纯有种强烈的感觉，此刻的不死卷，与他之前所拥有的，不大一样""","As it happened, his Undying Skin, Undying Heavenly King, and Undying Tendons all recovered completely. Furthermore, Bai Xiaochun could sense that this version of the Undying Codex was somehow different than what he had cultivated before","In the midst of this transformation, the Búsǐ Pí, Búsǐ JīngāNG, and Búsǐ JīN also underwent a complete restoration, and Bái Xiǎo Chún felt an intense sensation, as if the current Búsǐ Juàn was not vastly different from the one he had previously possessed.",,,,,
2,Llama 3,Base,Prompt 1,"""黄蓉道""",Huang Rong said,Huang Rongdao,,,,,
1,MBart,Base,Texto Origen,"""常山yīn的过去，早已经成为一个关于英雄的传说，在北原大地上广为流传""","Chang Shan Yin's past was a heroic tale, it was widely spread in northern plains","In the past, the mountainyīn has long been a legend about heroes, widely spread in the Northern Territory",,,,,pierde los nombres
2,Llama 3,Fine-Tuned,Prompt 2,"""现在还不是换取变化道仙蛊方，炼制变化道的其他仙蛊的时候""","Now was not the time to exchange them for transformation path Immortal Gu recipes, or the time to refine transformation path Immortal Gu",It was not the time to exchange for transformation path Immortal Gu recipes and refine other transformation path Immortal Gu,,,,,
2,Llama 3,Fine-Tuned,Prompt 1,"""想这些有什么用""",What use is there in thinking about this,What is the use of thinking about it,,,,,
2,Llama 3,Base,Prompt 2,"""但此茶却是个例外，要一口气喝掉""","ut this tea was different, one had to gulp it in one mouthful","However, this tea was an exception, one that had to be downed in a single, unbroken draught.",,,,,
2,Llama 3,Fine-Tuned,Prompt 2,"""我去哪啊""",Where am I supposed to go,Where am I going,,,,,
1,MBart,Base,Texto Origen,"""欧阳锋道""",Hong Qigong said,Eujong Road,,,,,quien?
2,Llama 3,Fine-Tuned,Prompt 1,"""气海老祖，你我之间其实并没有什么大的矛盾，完全可以和平共处""","Qi Sea Ancestor, we do not have a huge grudge between us, we can coexist in peace","Qi Sea Ancestor, we don’t have any conflict between us, we can coexist peacefully",,,,,
2,Llama 3,Base,Prompt 1,"""在这过程中，不死皮，不死金刚，不死筋 也都全部恢复，甚至白小纯有种强烈的感觉，此刻的不死卷，与他之前所拥有的，不大一样""","As it happened, his Undying Skin, Undying Heavenly King, and Undying Tendons all recovered completely. Furthermore, Bai Xiaochun could sense that this version of the Undying Codex was somehow different than what he had cultivated before","In this process, the Undying Skin, Undying Vajra, and Undying Tendons all recovered, and Bai Xiaochun even had a strong feeling that the current Undying Volume was not much different from the one he previously possessed.",,,,,
2,Llama 3,Base,Prompt 1,"""现在还不是换取变化道仙蛊方，炼制变化道的其他仙蛊的时候""","Now was not the time to exchange them for transformation path Immortal Gu recipes, or the time to refine transformation path Immortal Gu","It is not time yet to exchange the Huafang of the Transformation Path, to refine the other Huafang of the Transformation Path",,,,,
1,MBart,Fine-Tuned,Texto Origen,"""但此茶却是个例外，要一口气喝掉""","ut this tea was different, one had to gulp it in one mouthful","But this tea was an exception, it had to be drunk in one shot",,,,,
2,Llama 3,Fine-Tuned,Prompt 1,"""虽然我并非黄金血脉。 参与王庭争霸，就是为了混迹到八十八角真阳楼中捞取好处""","Although I am not of the Huang Jin bloodline, I participated in the fight for Imperial Court to get some benefits from Eighty-Eight True Yang Building","Even though I am not of Huang Jin bloodline, I am participating in the Imperial Court contest to get into Eighty-Eight True Yang Building and gain benefits",,,,,
1,MBart,Fine-Tuned,Texto Origen,"""常山yīn的过去，早已经成为一个关于英雄的传说，在北原大地上广为流传""","Chang Shan Yin's past was a heroic tale, it was widely spread in northern plains","Chang Shan Yin's past had long been a legend of heroes, widely spread in northern plains",,,,,
1,MBart,Base,Texto Origen,"""轰的一声，他就与前方的元妖子与通天道人，直接撞在了一起，元妖子喷出鲜血，通天道人一样鲜血狂喷，二人倒退时，噬灵上人与广目天尊，哪怕有些迟疑，可还是前行阻拦，与白小纯再次碰触""","A boom could be heard as he slammed into Prince Ur-Demon and Daoist Heavenspan. Blood sprayed out of both of their mouths as they were sent tumbling to the side. As for Reverend Devourer and Celestial Virūpākṣa, although they were still leery about the situation, they still tried to block Bai Xiaochun’s path","In a blow, he struck directly with the one who was ahead and the one who was on the way, and the one who was on the way bleeded, bleeding like the one who was on the way, and when the two fell back, the one who was on the way and the one who was on the way and the one who was on the way and the one who was on the way and the one who was on the way and the one who was on the way and the one who was on the way and the one who was on the way and the one who was on the way",,,,,"Al inicio sigue el hilo, sin identificar entidades, pero luego se pierde"
2,Llama 3,Fine-Tuned,Prompt 1,"""而现在，他只有将自身强悍到了极致后，才有把握，将那看似打不死的雷山，直接轰杀，一旦将其轰杀，白小纯就可以在无人追击中，彻底逃遁出去""","Right now, Bai Xiaochun knew that he had to become as powerful as he possibly could. He needed to cut down the seemingly unkillable Lei Shan, which would give them the oppor tunity to truly escape","Now, he had to make sure that he was strong enough to kill the seemingly indestructible Lei Shan. If he could do that, then he would be able to escape without anyone chasing him",,,,,
2,Llama 3,Base,Prompt 1,"""伊上帝之降命，何修短之难哉""",Why did God make someone is life so short,"Since it is the will of Yishangdi, how can the difficulty of cultivating Xiuxian be avoided?",,,,,
1,MBart,Fine-Tuned,Texto Origen,"""欧阳锋道""",Hong Qigong said,Ouyang Feng said,,,,,Overfitting
2,Llama 3,Base,Prompt 1,"""大部分风刃则成功地绕过水莲，在后方重新汇聚，形成一个稍小的纠风，仍旧向那头荒级虚兽撞去""","But most of the wind blades dodged the water lotus and gathered together again, forming a smaller entangled wind, and charging towards the desolate level phantom beast","Most of the wind blades successfully bypassed the water lotus, reassembling at the rear to form a slightly smaller whirlwind that continued to charge towards the head of the Huangji Xuru beast",,,,,
2,Llama 3,Base,Prompt 1,"""轰的一声，他就与前方的元妖子与通天道人，直接撞在了一起，元妖子喷出鲜血，通天道人一样鲜血狂喷，二人倒退时，噬灵上人与广目天尊，哪怕有些迟疑，可还是前行阻拦，与白小纯再次碰触""","A boom could be heard as he slammed into Prince Ur-Demon and Daoist Heavenspan. Blood sprayed out of both of their mouths as they were sent tumbling to the side. As for Reverend Devourer and Celestial Virūpākṣa, although they were still leery about the situation, they still tried to block Bai Xiaochun’s path","With a loud crash, he directly collided with Yuanyaozi and Tongtian Daoren in front of him. Yuanyaozi spat out fresh blood, and Tongtian Daoren also sprayed out fresh blood. As the two retreated, Xi Ling Shangren and Guangmu Tianzun, although somewhat hesitant, still moved forward to block the way and collided with Bai Xiaochun again.",,,,,
2,Llama 3,Base,Prompt 1,"""在仙元方面，巨阳仙尊应当占据优势。 在炼蛊方面，是方源占据优势""","In terms of immortal essence, Giant Sun Immortal Venerable should have an advantage, in terms of Gu refinement, Fang Yuan has the advantage","In terms of Xiānyuán, Jùyáng Xiānzūn should have the upper hand. In Liàn Zhú, it is Fāng Yuán who has the upper hand",,,,,
1,MBart,Base,Texto Origen,"""这落魄谷中，居然有盗天真传""",Luo Po valley actually has a Thieving Heaven true inheritance?,There was a true story of theft in the valley,,,,,Pierde el dominio
2,Llama 3,Fine-Tuned,Prompt 1,"""智道三元要素，分别是念、意、情""","Wisdom path had three elements, thoughts, wills, and emotions","The three elements of wisdom path were thoughts, wills, and emotions",,,,,
1,MBart,Fine-Tuned,Texto Origen,"""他最后说，我十分伤心，跟着你来的日子也不远了""",He finally said that his grief was so deep that the day he would follow her to the grave would not be far away,"In the end, he said, I am very sad, I am not long away from you",,,,,Narrativamente insuficiente
1,MBart,Fine-Tuned,Texto Origen,"""柯镇恶听了两人对答，知道郭靖懂得谦抑，心下也自喜欢""",Ke Zhen E was delighted listening to their conversation. He was proud that Guo Jing was well-behaved,"Upon hearing their conversation, Ke Zhen E knew that Guo Jing was very humble, so he thought to himself",,,,,
2,Llama 3,Fine-Tuned,Prompt 1,"""柯镇恶听了两人对答，知道郭靖懂得谦抑，心下也自喜欢""",Ke Zhen E was delighted listening to their conversation. He was proud that Guo Jing was well-behaved,"Ke Zhen E heard the two people conversation, he knew Guo Jing was modest, he was delighted",,,,,
2,Llama 3,Fine-Tuned,Prompt 2,"""若是在平地之上，尺许小径又算得了甚么，可是这石梁下临深谷，别说行走，只望一眼也不免胆战心惊""","If this stone bridge were laid on the ground, it would act just like a narrow alley, nothing to be afraid of, but under the stone bridge was a deep canyon. Just looking at it would cause the heart to tremble with fear, let alone walk across it","If it were on a flat ground, a path of this width would not be a problem, but this stone bridge was suspended high above a deep valley. Not only would walking on it be difficult, just looking at it would make one heart tremble with fear",,,,,
2,Llama 3,Base,Prompt 1,"""立刻这上百药草形成的药液，骤然落下，在与这血湖碰触的瞬间，如同相互之间有强烈的排斥，直接爆发，燃烧成为黑色的火焰，覆盖整个血湖""","As they flew through the air, they transformed into a medicinal liquid. When that entered the blood lake, a powerful expulsion force erupted out, and the burning caused a black smoke to rise up and fill the area","The medicinal liquid formed by the hundreds of medicinal herbs suddenly fell down, and at the moment it came into contact with the Blood Lake, it was as if there was a strong repulsion between them, directly exploding and burning into black flames, covering the entire Blood Lake",,,,,
