ID,Arquitectura,Estado_Modelo,Tipo_Input,texto_raw,Texto_Input,Texto_Output,FIDELIDAD,CALIDAD,DOMINIO,ALUCINACION,Notas_Cualitativas
2,Llama 3,Fine-Tuned,Prompt 2,"""立刻这上百药草形成的药液，骤然落下，在与这血湖碰触的瞬间，如同相互之间有强烈的排斥，直接爆发，燃烧成为黑色的火焰，覆盖整个血湖""","As they flew through the air, they transformed into a medicinal liquid. When that entered the blood lake, a powerful expulsion force erupted out, and the burning caused a black smoke to rise up and fill the area","Instantly, the medicinal liquid formed by the hundred plants poured down into the blood lake. The two liquids seemed to repel each other, and as soon as they touched, they ignited into black flames that covered the entire blood lake",,,,,
2,Llama 3,Fine-Tuned,Prompt 1,"""现在还不是换取变化道仙蛊方，炼制变化道的其他仙蛊的时候""","Now was not the time to exchange them for transformation path Immortal Gu recipes, or the time to refine transformation path Immortal Gu", It was not the time to exchange for transformation path Immortal Gu recipes and refine other transformation path Immortal Gu,,,,,
2,Llama 3,Base,Prompt 2,"""你居然一直在欺骗我们""", You actually were deceiving us,"You have been deceiving us all along, haven't you?",,,,,
1,MBart,Fine-Tuned,Texto Origen,"""东方长凡点点头""",Dong Fang Chang Fan nodded, Dong Fang Chang Fan nodded,,,,,
2,Llama 3,Fine-Tuned,Prompt 1,"""算不尽仙友，你是智道蛊仙更当明白眼前的局势""","Friend Suan Bu Jin, as a wisdom path Gu Immortal, you should be even more aware of the current situation","Friend Suan Bu Jin, you are a wisdom path Gu Immortal, you should understand the situation",,,,,
2,Llama 3,Fine-Tuned,Prompt 1,"""你居然一直在欺骗我们""", You actually were deceiving us,You have been deceiving us all along,,,,,
1,MBart,Base,Texto Origen,"""反倒是北岸，此刻居然为上官天佑欢呼，这欢呼声让上官天佑心里别扭，他知道北岸不是因为自己，而是因为白小纯才对自己发出欢呼，也就是说，就算与白小纯对战的是一头猪，北岸也会为这头猪喝彩，这么一想，上官天佑心底对白小纯，更为不悦""","The north bank, on the other hand, actually did start to cheer for Shangguan Tianyou. In response, Shangguan Tianyou frowned, aware that they weren't really cheering for him, but against Bai Xiaochun. The north bank would cheer for any oppon ent of Bai Xiaochun’s, even if it were a pig. The thought left Shangguan Tianyou even more displeased than before"," On the other hand, on the north shore, at this moment, the cheer of the High Commissioner, the cheer that lets the High Commissioner's heart not twist, he knew that the north shore, not because of himself, but because of the white and small pure, that is to say, even if the battle with the white and small pure was a pig, the north shore would also cheer for the pig, thought the High Commissioner, the bottom of the heart to the white and small pure, even more unpleasant",,,,,"Gramaticalmente parece bien, pero no tiene sentido"
1,MBart,Base,Texto Origen,"""立刻这上百药草形成的药液，骤然落下，在与这血湖碰触的瞬间，如同相互之间有强烈的排斥，直接爆发，燃烧成为黑色的火焰，覆盖整个血湖""","As they flew through the air, they transformed into a medicinal liquid. When that entered the blood lake, a powerful expulsion force erupted out, and the burning caused a black smoke to rise up and fill the area","Immediately, the hundreds of herbs that formed the medicine dropped suddenly, and in the instant of contact with the lake of blood, as if there were a strong repulsion between them, burst out directly, burning into a black flame, covering the whole lake of blood",,,,,Semanticamente identico
2,Llama 3,Fine-Tuned,Prompt 1,"""老毒物放蛇，真不要脸""",The Old Poison dispatches his snakes! Really shameless,"The Old Poison is using snakes, he is really shameless",,,,,
1,MBart,Base,Texto Origen,"""算不尽仙友，你是智道蛊仙更当明白眼前的局势""","Friend Suan Bu Jin, as a wisdom path Gu Immortal, you should be even more aware of the current situation",It's not enough. You're a wise man who better understands the situation.,,,,,sintacticamente sigue el hilo
2,Llama 3,Base,Prompt 2,"""他最后说，我十分伤心，跟着你来的日子也不远了""",He finally said that his grief was so deep that the day he would follow her to the grave would not be far away,"He finally said, my heart is filled with sorrow, the days of following you are also drawing to a close",,,,,
2,Llama 3,Base,Prompt 2,"""但这个计划总会有完成的那一天，咱们不抓紧这次难得的机会怎么行""","But this plan will eventually be completed, aren’t we grabbing onto this chance when it is available to us","But the day when this plan will finally be completed will inevitably arrive, and if we do not seize this rare opportunity with urgency, how can we proceed?",,,,,
2,Llama 3,Fine-Tuned,Prompt 2,"""在这过程中，不死皮，不死金刚，不死筋 也都全部恢复，甚至白小纯有种强烈的感觉，此刻的不死卷，与他之前所拥有的，不大一样""","As it happened, his Undying Skin, Undying Heavenly King, and Undying Tendons all recovered completely. Furthermore, Bai Xiaochun could sense that this version of the Undying Codex was somehow different than what he had cultivated before","During that time, his Undying Skin, Undying Heavenly King, and Undying Tendons all recovered. In fact, Bai Xiaochun could sense that his Undying Codex was different than it had been before",,,,,
2,Llama 3,Base,Prompt 2,"""算不尽仙友，你是智道蛊仙更当明白眼前的局势""","Friend Suan Bu Jin, as a wisdom path Gu Immortal, you should be even more aware of the current situation","You should be well aware of the current situation, Zhidao Húxiān, my fellow immortal friend, for you are known for your profound understanding",,,,,
1,MBart,Base,Texto Origen,"""你居然一直在欺骗我们""", You actually were deceiving us,You've been lying to us,,,,,
2,Llama 3,Fine-Tuned,Prompt 2,"""其中一个手段，是关于命牌蛊、魂灯蛊""",One of the methods was about life tablet Gu and soul lantern Gu,One of the methods was related to fate tablet Gu and soul lantern Gu,,,,,
2,Llama 3,Base,Prompt 2,"""苏秦背剑""",Reviving Qin Behind the Sword,"Su Qin bore the sword on his back, an unyielding determination etched upon his countenance, as if the weight of the blade was a constant reminder of the unrelenting path that lay ahead, a testament to his unshakeable resolve to wield the jian with honor and valor.",,,,,Alucinación
2,Llama 3,Fine-Tuned,Prompt 2,"""这落魄谷中，居然有盗天真传""",Luo Po valley actually has a Thieving Heaven true inheritance?, This Luo Po valley actually has Thieving Heaven’strue inheritance,,,,,
2,Llama 3,Base,Prompt 1,"""算不尽仙友，你是智道蛊仙更当明白眼前的局势""","Friend Suan Bu Jin, as a wisdom path Gu Immortal, you should be even more aware of the current situation","You should understand the current situation, Suanbujin Xianyou, as a wise and knowledgeable Zhi Dao Jiao Xian",,,,,
1,MBart,Base,Texto Origen,"""方源心中有明悟""",Fang Yuan comprehended inwardly,There is an understanding in the heart of the,,,,,Entidad?
2,Llama 3,Base,Prompt 1,"""元始仙尊的复活之法，方源知晓其中一个""",Fang Yuan knew one of Primordial Origin Immortal Venerable’s revival methods,Yuanshi Xianzun's method of resurrection is something that Fangyuan is aware of,,,,,
1,MBart,Fine-Tuned,Texto Origen,"""他们是我的手下""",Those are my men,They are my subordinates,,,,,
1,MBart,Base,Texto Origen,"""我去哪啊""",Where am I supposed to go,Where am I going,,,,,
1,MBart,Fine-Tuned,Texto Origen,"""反倒是北岸，此刻居然为上官天佑欢呼，这欢呼声让上官天佑心里别扭，他知道北岸不是因为自己，而是因为白小纯才对自己发出欢呼，也就是说，就算与白小纯对战的是一头猪，北岸也会为这头猪喝彩，这么一想，上官天佑心底对白小纯，更为不悦""","The north bank, on the other hand, actually did start to cheer for Shangguan Tianyou. In response, Shangguan Tianyou frowned, aware that they weren't really cheering for him, but against Bai Xiaochun. The north bank would cheer for any oppon ent of Bai Xiaochun’s, even if it were a pig. The thought left Shangguan Tianyou even more displeased than before","The north bank disciples actually cheered for Shangguan Tianyou, something that caused Shangguan Tianyou’s heart to tremble. He knew that the north bank disciples weren’t cheering for him because of himself, but rather, because of Bai Xiaochun. That meant that even if it were a pig fighting Bai Xiaochun, the north bank disciples would cheer for it. That made Shangguan Tianyou even more displeased with Bai Xiaochun than ever",,,,,
1,MBart,Fine-Tuned,Texto Origen,"""泰琴拼尽全力，不惜施展损害自己的手段，终于将王蚁收服""",Tai Qin gave it her all and used methods that carried backlash to herself but finally subdued the ant queen,"Tai Qin exerted all her strength and used her methods to harm herself, finally subduing the ant queen",,,,,
2,Llama 3,Fine-Tuned,Prompt 1,"""但此茶却是个例外，要一口气喝掉""","ut this tea was different, one had to gulp it in one mouthful"," But this tea is an exception, you have to drink it in one gulp",,,,,
2,Llama 3,Base,Prompt 2,"""古月方想口中喃喃，捂住心口""","Gu Yue Fang Xiang muttered, his hand over his heart","ǔ Yuè's thoughts were a gentle murmur on her lips, as she clasped her hands over her heart, as if to stifle the turmoil within, her eyes gazing afar with a deep sense of longing, like the faint glow of a crescent moon hanging low in the night sky, casting an ethereal light upon her tranquil face, a reflection of the serene and peaceful world that lay beyond the turmoil of her own heart",,,,,Buena telenovela
