ID,Arquitectura,Estado_Modelo,Tipo_Input,texto_raw,Texto_Input,Texto_Output,FIDELIDAD,CALIDAD,DOMINIO,ALUCINACION,Notas_Cualitativas
2,Llama 3,Fine-Tuned,Prompt 2,"""气海老祖，你我之间其实并没有什么大的矛盾，完全可以和平共处""","Qi Sea Ancestor, we do not have a huge grudge between us, we can coexist in peace"," Qi Sea Ancestor, we do not have any conflict, we can coexist peacefully",1.0,1.0,1.0,1.0,
1,MBart,Base,Texto Origen,"""这就是将来，巨阳仙尊血道有成之后，可以吞并长生天，使得自身实力实现恐怖暴涨""","In the future, after Giant Sun I mmortal Venerable’sblood path cultivation reach ac ertain level, he could annex Longevity Heaven to raise his strength to at errifying level","This is the future, after the bloodstream of the giant lion and goddess is established, can swallow up the long life, make its own power to realize the terror rise",1.0,1.0,,,Sin sentido semantico
2,Llama 3,Base,Prompt 1,"""你居然一直在欺骗我们""", You actually were deceiving us,You actually have been deceiving us all along,1.0,1.0,1.0,1.0,
2,Llama 3,Base,Prompt 2,"""泰琴拼尽全力，不惜施展损害自己的手段，终于将王蚁收服""",Tai Qin gave it her all and used methods that carried backlash to herself but finally subdued the ant queen,"Taiqin exhausted all his strength, sparing no effort and even resorting to techniques that would harm himself, and finally managed to subdue Wangyi",1.0,1.0,,,
2,Llama 3,Base,Prompt 1,"""东方长凡点点头""",Dong Fang Chang Fan nodded,Dōngfāng Chángfán nodded slightly,1.0,1.0,1.0,,
2,Llama 3,Fine-Tuned,Prompt 1,"""常山yīn的过去，早已经成为一个关于英雄的传说，在北原大地上广为流传""","Chang Shan Yin's past was a heroic tale, it was widely spread in northern plains"," Chang Shan Yin’s past had already become a legend of a hero, it was widely spread in northern plains",1.0,1.0,1.0,1.0,
1,MBart,Fine-Tuned,Texto Origen,"""这落魄谷中，居然有盗天真传""",Luo Po valley actually has a Thieving Heaven true inheritance?,This Luo Po valley actually has a Thieving Heaven true inheritance,,,,,
2,Llama 3,Fine-Tuned,Prompt 2,"""这就是将来，巨阳仙尊血道有成之后，可以吞并长生天，使得自身实力实现恐怖暴涨""","In the future, after Giant Sun I mmortal Venerable’sblood path cultivation reach ac ertain level, he could annex Longevity Heaven to raise his strength to at errifying level","This was the future, after Giant Sun Immortal Venerable became a blood path expert, he could annex Longevity Heaven and raise his strength to a terrifying level",,,,,
1,MBart,Fine-Tuned,Texto Origen,"""那也好，我宰了八人，再来助你""",I will come and help you after I have massacred these eight. Precisely, I will help you after I have slaughtered eight of them,1.0,,,,
2,Llama 3,Fine-Tuned,Prompt 1,"""倒是真不错""",He is truly a good choice,It is not bad,1.0,1.0,1.0,,
1,MBart,Base,Texto Origen,"""刚想到这里，陆畏因眼前忽然一黑""","While thinking of this, Lu Wei Yin’s vision suddenly turned dark","When I thought about it, I suddenly saw a darkness in my eyes",1.0,,,,El sujeto???
1,MBart,Base,Texto Origen,"""他们是我的手下""",Those are my men,They are my men,,,,,
2,Llama 3,Fine-Tuned,Prompt 2,"""轰的一声，他就与前方的元妖子与通天道人，直接撞在了一起，元妖子喷出鲜血，通天道人一样鲜血狂喷，二人倒退时，噬灵上人与广目天尊，哪怕有些迟疑，可还是前行阻拦，与白小纯再次碰触""","A boom could be heard as he slammed into Prince Ur-Demon and Daoist Heavenspan. Blood sprayed out of both of their mouths as they were sent tumbling to the side. As for Reverend Devourer and Celestial Virūpākṣa, although they were still leery about the situation, they still tried to block Bai Xiaochun’s path","A boom rang out as he slammed into Prince Ur-Demon and Daoist Heavenspan. Both of them coughed up blood, and were sent tumbling backward. Although Reverend Devourer and Celestial Virūpākṣa were a bit hesitant, they still tried to block Bai Xiaochun’s path, and the two of them slammed into him",,,,,
2,Llama 3,Base,Prompt 2,"""智道三元要素，分别是念、意、情""","Wisdom path had three elements, thoughts, wills, and emotions","The three essential elements of Zhìdào are xiǎng, yì, and qíng, which respectively signify the realms of thought, intention, and sentiment.",,,,,
2,Llama 3,Base,Prompt 2,"""大小姐，你不妨将此事交给我处理，我来找她谈，付出一些代价也无妨""","Missy, leave this to me, I will negotiate with her, it is okay if we pay a small price","Young mistress, you need not trouble yourself with this matter, I shall take it upon myself to handle it. I shall go and speak with her, and even if it requires paying a certain price, it is of no consequence to me.",,,,,
1,MBart,Fine-Tuned,Texto Origen,"""方源面色仍旧冷漠，就算是道歉，都是一脸高傲的样子""","Fang Yuan had a cold expression, even when he apologized, he had an arrogant look","Fang Yuan’s expression was still cold, even though he apologized, he showed an arrogant expression",,,,,
1,MBart,Fine-Tuned,Texto Origen,"""其中一个手段，是关于命牌蛊、魂灯蛊""",One of the methods was about life tablet Gu and soul lantern Gu,One of the methods was regarding life tablet Gu and soul lantern Gu,,,,,
1,MBart,Base,Texto Origen,"""元始仙尊的复活之法，方源知晓其中一个""",Fang Yuan knew one of Primordial Origin Immortal Venerable’s revival methods,"The Method of Resurrection of the Emperor's Deity, one of which is known by the source.",,,,,Quien es el origen?
2,Llama 3,Fine-Tuned,Prompt 1,"""对那些徒手肉搏者，这些堪比钢铁般坚硬的木刺，将会给他们留下深刻的印象""","To those fighting barehanded, these thorns that were as sturdy as steel would leave a lasting impression on them","For those who fought barehanded, these spikes that were as hard as steel would leave a deep impression on them",,,,,
2,Llama 3,Base,Prompt 1,"""方源面色仍旧冷漠，就算是道歉，都是一脸高傲的样子""","Fang Yuan had a cold expression, even when he apologized, he had an arrogant look","Fāng Yuán's face was still as cold as ever, and even when apologizing, he had an air of arrogance about him",,,,,
1,MBart,Base,Texto Origen,"""一灯道""",Yideng said,One Light Road,,,,,
2,Llama 3,Fine-Tuned,Prompt 1,"""他们之前在大殿内也讨论过，彼此都非常为难，因为荣耀弟子的身份，太重要了，在这之前，给的都是战死之人，还从来没过活人，可如今白小纯居然活蹦乱跳的出现在自己面前 这让他们在刚刚知道这个消息时，一个个都愣了一下""","That was one of the reasons why the discussion had been so difficult earlier. The position of Prestige disciple was extremely important, and had previously only been conferred upon people who had died in battle, never living disciples. And yet, here Bai Xiaochun was right in front of them, healthy and no worse for wear That was one reason why all of them had been so shocked to hear the news that he was alive","They had discussed the matter in the great hall, and all of them were very worried. The status of a Prestige disciple was very important, and in the past, they had only ever given it to people who had died in battle. Never had they given it to someone who was still alive. And yet, here Bai Xiaochun was, alive and kicking",,,,,
2,Llama 3,Base,Prompt 2,"""方源，你怎么也想不到，会有今天吧""","Fang Yuan, you had never in your wildest imagination, expect this day to occur right","Fangyuan, you could never have imagined that such a day would come to pass, and yet it has arrived, borne on the winds of fate, a reality that now stands before us like an unyielding mountain.",,,,,Melodramatico
2,Llama 3,Fine-Tuned,Prompt 2,"""那也好，我宰了八人，再来助你""",I will come and help you after I have massacred these eight. Precisely,"That is all right, I will kill eight people and then I will help you",,,,,
2,Llama 3,Fine-Tuned,Prompt 1,"""一灯道""",Yideng said,Yideng said,,,,,
2,Llama 3,Fine-Tuned,Prompt 2,"""他最后说，我十分伤心，跟着你来的日子也不远了""",He finally said that his grief was so deep that the day he would follow her to the grave would not be far away,He said that I was very sad and that the day when I would follow him was not far away,,,,,
1,MBart,Fine-Tuned,Texto Origen,"""他们之前在大殿内也讨论过，彼此都非常为难，因为荣耀弟子的身份，太重要了，在这之前，给的都是战死之人，还从来没过活人，可如今白小纯居然活蹦乱跳的出现在自己面前 这让他们在刚刚知道这个消息时，一个个都愣了一下""","That was one of the reasons why the discussion had been so difficult earlier. The position of Prestige disciple was extremely important, and had previously only been conferred upon people who had died in battle, never living disciples. And yet, here Bai Xiaochun was right in front of them, healthy and no worse for wear That was one reason why all of them had been so shocked to hear the news that he was alive","The two of them had discussed matters similar to this in the hall earlier, and had all been in a very difficult position. The position of Prestige disciple was extremely important. Before, all of the disciples who had died in battle had been people who had never been alive, but now that Bai Xiaochun had appeared right in front of them all of them were stunned",,,,,Pierde el hilo narrativo
1,MBart,Fine-Tuned,Texto Origen,"""对那些徒手肉搏者，这些堪比钢铁般坚硬的木刺，将会给他们留下深刻的印象""","To those fighting barehanded, these thorns that were as sturdy as steel would leave a lasting impression on them","To those barehanded fighters, these steel-like spikes would leave a deep impression on them",,,,,
2,Llama 3,Base,Prompt 1,"""方源心中有明悟""",Fang Yuan comprehended inwardly,Fāng Yuán has a clear understanding in his heart,,,,,
1,MBart,Base,Texto Origen,"""伊上帝之降命，何修短之难哉""",Why did God make someone is life so short,How short is the life of God,,,,,
1,MBart,Base,Texto Origen,"""那么对不起得很，两柄剑都到了做哥哥的家里啦""","Then I am really very sorry, for both daggers would belong to my family then","So I'm sorry, but both swords have come to my brother's house",,,,,
1,MBart,Base,Texto Origen,"""东方长凡点点头""",Dong Fang Chang Fan nodded,Mr. Chang-,,,,,
1,MBart,Fine-Tuned,Texto Origen,"""倒是真不错""",He is truly a good choice,Not bad at all,,,,,
