ID,Arquitectura,Estado_Modelo,Tipo_Input,texto_raw,Texto_Input,Texto_Output,FIDELIDAD,CALIDAD,DOMINIO,ALUCINACION,Notas_Cualitativas
2,Llama 3,Base,Prompt 2,"""轰的一声，他就与前方的元妖子与通天道人，直接撞在了一起，元妖子喷出鲜血，通天道人一样鲜血狂喷，二人倒退时，噬灵上人与广目天尊，哪怕有些迟疑，可还是前行阻拦，与白小纯再次碰触""","A boom could be heard as he slammed into Prince Ur-Demon and Daoist Heavenspan. Blood sprayed out of both of their mouths as they were sent tumbling to the side. As for Reverend Devourer and Celestial Virūpākṣa, although they were still leery about the situation, they still tried to block Bai Xiaochun’s path","With a loud crash, he collided directly with Yuānyāozǐ and Tōngtiān Dàorén in front of him. Yuānyāozǐ spat out fresh blood, and Tōngtiān Dàorén also sprayed out fresh blood wildly. As the two retreated, Xiè Líng Shàng Rén and Guǎng Mù Tiān Zūn, despite some hesitation, still moved forward to block the way and clashed with Bái Xiǎo Chún once again.",2.0,2.0,2.0,1.0,
2,Llama 3,Base,Prompt 2,"""倒是真不错""",He is truly a good choice,"It was indeed not mistaken, a reversal of expectations that proved to be true, for in the realm of the wuxia, truth often lies in the unexpected, and the unyielding pursuit of justice can lead one down a path of discovery, where the lines between reality and illusion are blurred, and the heart must be guided by an unshakeable sense of righteousness, as the great heroes of old, such as those who roamed the land of Jianghu, have always known, that the true test of character lies not in the absence of mistakes, but in the courage to correct them, and to emerge stronger, like the unyielding will of a true warrior, tempered by the fires of adversity, and forged in the depths of the human spirit, where the essence of truth and wisdom resides, waiting to be uncovered by those who dare to seek it, and to wield it, like the mighty sword of a legendary hero, cutting through the darkness, and illuminating the path",1.0,1.0,1.0,1.0,
2,Llama 3,Base,Prompt 2,"""老毒物放蛇，真不要脸""",The Old Poison dispatches his snakes! Really shameless,"Lǎo Dú Wù wú fàng shé, zhēn bù yào liǎn, a phrase that embodies the unyielding and unapologetic spirit of a seasoned martial artist, can be translated to: ""The old venomous one releases the snake, truly having no regard for face.""",1.0,1.0,1.0,1.0,
2,Llama 3,Base,Prompt 1,"""而现在，他只有将自身强悍到了极致后，才有把握，将那看似打不死的雷山，直接轰杀，一旦将其轰杀，白小纯就可以在无人追击中，彻底逃遁出去""","Right now, Bai Xiaochun knew that he had to become as powerful as he possibly could. He needed to cut down the seemingly unkillable Lei Shan, which would give them the oppor tunity to truly escape","Now, he only has a chance of winning after he has strengthened himself to the extreme, and then he can directly blast Lei Shan, who seems impossible to kill, to death. Once Lei Shan is killed, Bai Xiaochun can escape completely without being pursued.",1.0,1.0,1.0,1.0,
1,MBart,Base,Texto Origen,"""那也好，我宰了八人，再来助你""",I will come and help you after I have massacred these eight. Precisely,It's okay. I've killed eight. I'll come back and help you,1.0,11.0,1.0,1.0,"8 pone en el original, tecnicamente esta bien"
2,Llama 3,Base,Prompt 2,"""大部分风刃则成功地绕过水莲，在后方重新汇聚，形成一个稍小的纠风，仍旧向那头荒级虚兽撞去""","But most of the wind blades dodged the water lotus and gathered together again, forming a smaller entangled wind, and charging towards the desolate level phantom beast","Most of the fēng rèn then successfully skirted around the shuǐ lián, reassembling at the rear to form a slightly smaller jiū fēng, which continued to charge towards that headless yuán jí móu shòu.",,,,,
1,MBart,Fine-Tuned,Texto Origen,"""现在还不是换取变化道仙蛊方，炼制变化道的其他仙蛊的时候""","Now was not the time to exchange them for transformation path Immortal Gu recipes, or the time to refine transformation path Immortal Gu",Now is not the time to exchange for transformation path Immortal Gu recipes and refine other transformation path Immortal Gu,1.0,1.0,,,
2,Llama 3,Fine-Tuned,Prompt 1,"""大部分风刃则成功地绕过水莲，在后方重新汇聚，形成一个稍小的纠风，仍旧向那头荒级虚兽撞去""","But most of the wind blades dodged the water lotus and gathered together again, forming a smaller entangled wind, and charging towards the desolate level phantom beast","Most of the wind blades successfully dodged the water lotus and gathered behind it, forming a slightly smaller windstorm that charged towards the desolate beast",1.0,1.0,,,
2,Llama 3,Fine-Tuned,Prompt 2,"""柯镇恶听了两人对答，知道郭靖懂得谦抑，心下也自喜欢""",Ke Zhen E was delighted listening to their conversation. He was proud that Guo Jing was well-behaved,"Ke Zhen E heard the two people conversation, he knew Guo Jing was modest, he was delighted",1.0,1.0,11.0,,
2,Llama 3,Fine-Tuned,Prompt 2,"""苏秦背剑""",Reviving Qin Behind the Sword,Su Qin Backs the Sword,,,,,
2,Llama 3,Base,Prompt 1,"""我去哪啊""",Where am I supposed to go,Where am I going?,1.0,1.0,1.0,1.0,
1,MBart,Base,Texto Origen,"""他们之前在大殿内也讨论过，彼此都非常为难，因为荣耀弟子的身份，太重要了，在这之前，给的都是战死之人，还从来没过活人，可如今白小纯居然活蹦乱跳的出现在自己面前 这让他们在刚刚知道这个消息时，一个个都愣了一下""","That was one of the reasons why the discussion had been so difficult earlier. The position of Prestige disciple was extremely important, and had previously only been conferred upon people who had died in battle, never living disciples. And yet, here Bai Xiaochun was right in front of them, healthy and no worse for wear That was one reason why all of them had been so shocked to hear the news that he was alive","They had discussed it in the Hall before, and it was very difficult for each other, because the status of the glorious disciple was so important, that before it all had been given to those who had died of war, and had never lived, but now the white and the pure had appeared before them, and they were all astonished when they had just heard the news",1.0,,,,Sin renconocer entidades
2,Llama 3,Fine-Tuned,Prompt 2,"""智道三元要素，分别是念、意、情""","Wisdom path had three elements, thoughts, wills, and emotions","The three elements of wisdom path were thought, will, and emotion",1.0,11.0,,,
1,MBart,Base,Texto Origen,"""若非方源不想在炎煌雷泽仙僵面前，暴露了定仙游和自己的身份，他早就赶到了""","If not for the fact that Fang Yuan did not want to expose Fixed Immortal Travel and his identity in front of the Blazing Glory Lightning Brilliance immortal zombie, he would have arrived long ago","If he didn't want to be exposed to the flame of the dragon, he would have already come",,,,,queda a medias
2,Llama 3,Fine-Tuned,Prompt 2,"""一灯道""",Yideng said,Yideng said,,,,,
2,Llama 3,Fine-Tuned,Prompt 1,"""方源，你怎么也想不到，会有今天吧""","Fang Yuan, you had never in your wildest imagination, expect this day to occur right","Fang Yuan, you could not have imagined that this day would come",1.0,1.0,1.0,1.0,
1,MBart,Base,Texto Origen,"""而现在，他只有将自身强悍到了极致后，才有把握，将那看似打不死的雷山，直接轰杀，一旦将其轰杀，白小纯就可以在无人追击中，彻底逃遁出去""","Right now, Bai Xiaochun knew that he had to become as powerful as he possibly could. He needed to cut down the seemingly unkillable Lei Shan, which would give them the oppor tunity to truly escape","And now, only when he has made himself strong to the point where he can be sure, he can shoot down the seemingly deadly mountain of lightning, and once he has shot down it, white and pure will be able to escape completely from no one's pursue",111.0,1.0,1.0,1.0,Pierde los nombres
